8;-432;-85;1075
12;-387;-226;879
16;-392;-206;945
20;-451;-262;1054
24;-456;-240;973
28;-440;-163;933
32;-431;-129;922
36;-437;-114;912
40;-426;-123;910
44;-425;-112;914
48;-399;-129;929
52;-424;-126;905
56;-428;-135;918
60;-421;-151;945
64;-412;-163;952
68;-409;-161;950
72;-380;-216;956
76;-398;-151;940
80;-412;-171;935
84;-464;-166;927
88;-404;-157;922
92;-359;-161;917
96;-401;-151;893
100;-399;-176;909
104;-396;-175;938
108;-402;-144;942
112;-416;-161;929
116;-429;-158;913
120;-402;-158;935
124;-448;-148;938
128;-471;-169;917
132;-479;-151;912
136;-484;-174;920
140;-500;-164;912
144;-519;-176;897
148;-510;-197;909
152;-510;-207;913
156;-517;-224;926
160;-505;-222;942
164;-503;-217;928
168;-482;-218;917
172;-484;-210;913
176;-633;-194;851
180;-559;-210;825
184;-454;-171;943
188;-449;-173;902
192;-409;-213;881
196;-431;-183;872
200;-456;-193;865
204;-504;-182;817
208;-537;-175;773
212;-525;-175;767
216;-524;-178;804
220;-481;-139;797
224;-424;-157;816
228;-428;-113;817
232;-441;-113;817
236;-437;-117;797
240;-417;-109;815
244;-414;-123;829
248;-338;-4;915
252;-390;-58;876
256;-339;-36;820
260;-370;-82;827
264;-381;-95;838
268;-399;-94;833
272;-424;-106;844
276;-424;-105;849
280;-426;-122;850
284;-424;-139;857
288;-446;-132;845
292;-460;-138;812
296;-488;-176;832
300;-500;-196;811
304;-508;-223;833
308;-508;-200;875
312;-507;-165;816
316;-492;-212;834
320;-515;-195;861
324;-584;-184;817
328;-440;-243;905
332;-433;-180;969
336;-428;-125;894
340;-412;-277;907
344;-392;-242;992
348;-439;-127;969
352;-342;-88;945
356;-264;-177;972
360;-296;-167;944
364;-379;-232;922
368;-507;-156;810
372;-410;-58;990
376;-314;-161;952
380;-310;-139;962
384;-365;-180;955
388;-411;-257;962
392;-428;-291;1001
396;-456;-188;908
400;-378;-204;906
404;-466;-140;786
408;-578;-395;595
412;-773;-479;732
416;-689;-418;825
420;-658;-437;835
424;-471;-270;881
428;-477;-32;839
432;-439;-564;841
436;-610;-177;801
440;-524;-334;1007
444;-519;-321;844
448;-498;-395;957
452;-509;-254;897
456;-455;-269;910
460;-523;-302;926
464;-470;-378;1023
468;-493;-383;988
472;-546;-316;993
476;-546;-335;1064
480;-492;-272;1142
484;-510;-329;948
488;-473;-309;968
492;-529;-167;1121
496;-495;-221;943
500;-464;-254;933
504;-478;-276;884
508;-471;-272;999
512;-517;-337;727
516;-557;-291;841
520;-478;-315;878
524;-476;-320;879
528;-396;-324;879
532;-415;-283;834
536;-437;-286;823
